CTV3Codes,Description
fk8d.,Genotropin KabiQuick(rbe) 4iu(1.3mg) prefilled syringe(pdr for recon)+diluent
fkAt.,Somatropin(rbe) 4.2iu(1.4mg) prefilled syringe(pdr for recon)+diluent
fkA5.,Genotropin MiniQuick 4.2iu(1.4mg) prefilled syringe(pdr for recon)+diluent
fkAu.,Somatropin(rbe) 4.8iu(1.6mg) prefilled syringe(pdr for recon)+diluent
fkA6.,Genotropin MiniQuick 4.8iu(1.6mg) prefilled syringe(pdr for recon)+diluent
fkAv.,Somatropin(rbe) 5.4iu(1.8mg) prefilled syringe(pdr for recon)+diluent
fkA7.,Genotropin MiniQuick 5.4iu(1.8mg) prefilled syringe(pdr for recon)+diluent
fkAw.,Somatropin(rbe) 6iu(2mg) prefilled syringe(pdr for recon)+diluent
fkA8.,Genotropin MiniQuick 6iu(2mg) prefilled syringe(pdr for recon)+diluent
fk8U.,Somatropin(rbe) 16iu(5.33mg) injection cartridge
fk8r.,Genotropin 16iu(5.3mg) injection cartridge
fk88.,Genotropin KabiPen(rbe) 16iu inj cartridge(pdr for recon)+diluent
fk8t.,Somatropin(rbe) 18iu(6mg) inj cartridge(pdr for recon)+diluent
fk8w.,Humatrope(rbe) 18iu(6mg) inj cartridge(pdr for recon)+diluent
fk8u.,Somatropin(rbe) 36iu(12mg) inj cartridge(pdr for recon)+diluent
fk8x.,Humatrope(rbe) 36iu(12mg) inj cartridge(pdr for recon)+diluent
fk8v.,Somatropin(rbe) 72iu(24mg) inj cartridge(pdr for recon)+diluent
fk8y.,Humatrope(rbe) 72iu(24mg) inj cartridge(pdr for recon)+diluent
fk8Y.,Somatropin(rmc) 4iu(1.33mg) injection (pdr for recon)+diluent
fk86.,Saizen(rmc) 4iu(1.33mg) injection (pdr for recon)+diluent
fk8X.,Somatropin(rmc) 10iu(3.33mg) injection (pdr for recon)+diluent
fk8g.,Saizen(rmc) 10iu(3.33mg) injection (pdr for recon)+diluent
fk8J.,Somatropin(rmc) 24iu(8mg) injection (pdr for recon)+solvent
fk8A.,Saizen(rmc) 24iu(8mg) injection (pdr for recon)+solvent
fkA9.,Saizen click.easy(rmc) 24iu(8mg) injection (pdr for recon)+solvent
fkAC.,SOMATROPIN 5mg(15iu) powder and solvent for solution for injection
fkAB.,OMNITROPE 5mg(15iu) powder and solvent for solution for injection
fkAp.,SOMATROPIN(rbe) 10mg(30iu)/1.5mL injection cartridge
fkAE.,OMNITROPE 10mg(30iu)/1.5mL injection cartridge
fkA..,Somatropin [2]
fkAF.,ZOMACTON 10mg injection (pdr for recon)+solvent
fkAG.,SOMATROPIN(rbe) 10mg injection (pdr for recon)+solvent
fkAH.,GENOTROPIN GOQUICK 12mg powder and solvent injection pen
fkAI.,SOMATROPIN(rbe) 12mg powder and solvent injection pen
fkAJ.,GENOTROPIN GOQUICK 5.3mg powder and solvent injection pen
fkAK.,SOMATROPIN(rbe) 5.3mg powder and solvent injection pen
fkAL.,SAIZEN 6mg/1.03mL solution for injection cartridge
fkAM.,SOMATROPIN(rmc) 6mg/1.03mL solution for injection cartridge
fkAN.,SAIZEN 12mg/1.5mL solution for injection cartridge
fkAO.,SOMATROPIN(rmc) 12mg/1.5mL solution for injection cartridge
fkAP.,SAIZEN 20mg/2.5mL solution for injection cartridge
fkAQ.,SOMATROPIN(rmc) 20mg/2.5mL solution for injection cartridge
fkAR.,NORDITROPIN NORDIFLEX 15mg/1.5mL solution for injection pen
fkAS.,SOMATROPIN(epr) 15mg/1.5mL solution for injection pen
fkAT.,OMNITROPE SUREPAL 5 5mg/1.5mL soln for injection cartridges
fkAU.,OMNITROPE SUREPAL 10 10mg/1.5mL soln for inj cartridges
fkAV.,OMNITROPE SUREPAL 15 15mg/1.5mL solution for inj cartridges
fkAW.,SOMATROPIN(rbe) 15mg(45iu)/1.5mL solution for inj cartridges
