CTV3Codes,Description
pG2P.,ErectAssist S0101A 25mm erectile dysfunction constrictor ring
pG2Q.,ErectAssist S0101B 32mm erectile dysfunction constrictor ring
pG2R.,ErectAssist S0101C 40mm erectile dysfunction constrictor ring
x05hJ,Genesis Rings erectile dysfunction constrictor ring
pG25.,Genesis Rings 0110B erectile dysfunction constrictor ring
pG26.,Genesis Rings 0110C erectile dysfunction constrictor ring
pG27.,Genesis Rings 0110D erectile dysfunction constrictor ring
pG28.,Genesis Rings 0110E erectile dysfunction constrictor ring
pG29.,Genesis Rings 0110F erectile dysfunction constrictor ring
x05zj,Vetco UK erectile dysfunction constrictor rings
pG2Z.,C Flex VA005 small erectile dysfunction constrictor ring
pG2a.,C Flex VA005 medium erectile dysfunction constrictor ring
pG2b.,C Flex VA005 large erectile dysfunction constrictor ring
pG2e.,Comfort VA007 one size fits all erectile dysfunction constrictor ring
pG2c.,Mentor VA006 medium erectile dysfunction constrictor ring
pG2d.,Mentor VA006 large erectile dysfunction constrictor ring
x05hK,Pos-T-Vac erectile dysfunction constrictor ring
pG2A.,Pos-T-Vac PTV-003/4 size 4 silicone erectile dysfunction constrictor ring
pG2B.,Pos-T-Vac PTV-003/5 size 5 silicone erectile dysfunction constrictor ring
pG2C.,Pos-T-Vac PTV-003/6 size 6 silicone erectile dysfunction constrictor ring
pG2D.,Pos-T-Vac PTV-003/7 size 7 silicone erectile dysfunction constrictor ring
pG2E.,Pos-T-Vac PTV-003/8 size 8 silicone erectile dysfunction constrictor ring
pG2F.,Pos-T-Vac PTV-003/9 size 9 silicone erectile dysfunction constrictor ring
pG2G.,Pos-T-Vac PTV-003/10 size 10 silicone erectile dysfunction constrictor ring
pG2W.,Select 15230 erectile dysfunction constrictor ring set
pG2V.,SureEase 15085 erectile dysfunction constrictor ring set
pG2X.,Ultimate 15222 erectile dysfunction constrictor rings set
pG2Y.,Ultra 15444 erectile dysfunction constrictor rings set
pG2f.,OSBON ERECAID 1676 grey erectile dysf constrictor rings
pG2g.,OSBON ERECAID 1672 beige erectile dysf constrictor rings
pG2h.,OSBON ERECAID 1674 pink erectile dysf constrictor rings
pG2i.,GENESIS 013H-3/size 3 erectile dysfunction constrictor rings
pG2j.,GENESIS 013H-4/size 4 erectile dysfunction constrictor rings
pG2k.,GENESIS 013H-5/size 5 erectile dysfunction constrictor rings
pG2l.,GENESIS 013H-6/size 6 erectile dysfunction constrictor rings
pG2m.,GENESIS 013H-7/size 7 erectile dysfunction constrictor rings
pG2n.,GENESIS 013H-8/size 8 erectile dysfunction constrictor rings
pG2o.,GENESIS 013H-9/size 9 erectile dysfunction constrictor rings
pG2p.,VAXAID 20mm/VSER20 erectile dysfunction constrictor rings
pG2q.,VAXAID 24mm/VSER24 erectile dysfunction constrictor rings
pG2r.,VAXAID 28mm/VSER28 erectile dysfunction constrictor rings
pG2s.,VAXAID 32mm/VSER32 erectile dysfunction constrictor rings
pG2t.,VAXAID 36mm/VSER36 erectile dysfunction constrictor rings
pG2u.,VAXAID 40mm/VSER40 erectile dysfunction constrictor rings
pG2v.,VAXAID VPER1 erectile dysfunction constrictor ring set
pG2w.,VAXAID VPER2 erectile dysfunction constrictor ring set
pG2x.,VAXAID VPER3 erectile dysfunction constrictor ring set
pG2y.,VED AXIS FTP-44003-4-001 size 4 erec dysf constrictor rings
pG2z.,VED AXIS FTP-44003-6-001 size 6 erec dysf constrictor rings
x05kU,Erectile dysfunction constrictor ring system
x05hH,Asset erectile dysfunction constrictor ring
pG21.,Asset 0105 erectile dysfunction constrictor ring
pG2U.,Assist Erection Maintenance 15109 system
pG2O.,Elite ECA02 applicator and cone and eretile dysfunction constrictor rings
pG2T.,ErectAssist S0007 loading cone and transfer collar and constrictor rings complete system
pG2H.,Rapport ring system SM2220 erectile dysfunction constrictor ring
pG3..,ERECTILE DYSFUNCTION SYSTEM ACCESSORIES
pG31.,VED AXIS SENSATION SEAL FTP-001-2-SS size 2 seal for vac sys
pG32.,VED AXIS SENSATION SEAL FTP-001-3-SS size 3 seal for vac sys
pG33.,VED AXIS FIRMA BAND FTP-001-0-FB band for vacuum therapy sys
