V2Codes,Description
eh8d.,FLUCONAZOLE 50mg/5mL suspension
eh8e.,FLUCONAZOLE 200mg/5mL suspension
eh8f.,DIFLUCAN ONE 150mg capsule
eh8g.,CANESTEN FLUCONAZOLE 150mg capsule
eh8h.,GALPHARM SINGLE DOSE THRUSH TREATMENT 150mg capsule
eh8k.,VANTAGE FLUCONAZOLE 150mg capsule
eh8l.,CARE FLUCONAZOLE 150mg capsule
eh8m.,AZOCAN-P 150mg capsules
eh91.,ITRACONAZOLE 100mg capsules
eh92.,SPORANOX 100mg capsules
eh93.,SPORANOX-PULSE 100mg capsules
eh94.,ITRACONAZOLE 10mg/mL sugar free oral solution
eh95.,SPORANOX 10mg/mL sugar free oral solution 150mL
eh96.,SPORANOX IV 250mg/25mL infusion concentrate
eh9z.,ITRACONAZOLE 250mg/25mL infusion concentrate
eh9..,ITRACONAZOLE
eha..,TERBINAFINE HYDROCHLORIDE [1]
eha1.,TERBINAFINE 250mg tablets
eha2.,LAMISIL 250mg tablets x14
eha3.,LAMISIL 250mg tablets x28
ehb..,CASPOFUNGIN
ehb1.,CASPOFUNGIN 50mg infusion concentrate (pdr for recon)
ehb2.,CASPOFUNGIN MSD 50mg infusion concentrate (pdr for recon)
ehb3.,CASPOFUNGIN 70mg infusion concentrate (pdr for recon)
ehb4.,CASPOFUNGIN MSD 70mg infusion concentrate (pdr for recon)
ehc1.,VORICONAZOLE 50mg tablets
ehc2.,VORICONAZOLE 200mg tablets
ehc3.,VORICONAZOLE 200mg i-v infusion (pdr for recon)
ehc4.,VFEND 50mg tablets
ehc5.,VFEND 200mg tablets
ehc6.,VFEND 200mg i-v infusion (pdr for recon)
ehc7.,VORICONAZOLE 40mg/mL oral suspension
ehc8.,VFEND 40mg/mL oral suspension 100mL
ehc9.,VFEND 200mg powder and solvent for solution for infusion
ehcA.,VORICONAZOLE 200mg powder+solvent for soln for injection
ehd1.,NOXAFIL 40mg/mL oral suspension
ehd..,POSACONAZOLE
ehd2.,NOXAFIL 100mg gastro-resistant tablets
ehd3.,NOXAFIL 300mg/16.7mL concentrate for solution for infusion
ehd4.,POSACONAZOLE 300mg/16.7mL concentrate for soln for injection
ehdy.,POSACONAZOLE 100mg gastro-resistant tablets
ehdz.,POSACONAZOLE 40mg/mL oral suspension
ehe1.,ECALTA 100mg powder and solvent for solution for injection
ehe2.,ECALTA 100mg powder for concentrate for soln for infusion
ehey.,ANIDULAFUNGIN 100mg powder for conc for soln for infusion
ehez.,ANIDULAFUNGIN 100mg powder and solvent for solution for injection
ehf1.,MYCAMINE 50mg powder for solution for injection
ehf2.,MYCAMINE 100mg powder for solution for injection
ehfy.,MICAFUNGIN 100mg powder for solution for injection
ehfz.,MICAFUNGIN 50mg powder for solution for injection
ehg1.,CRESEMBA 100mg capsules
ehg2.,ISAVUCONAZOLE 100mg capsules
ehg3.,CRESEMBA 200mg powder for concentrate for soln for infusion
ehg4.,ISAVUCONAZOLE 200mg powder for solution for injection
