CTV3Codes,Description
dnf9.,Lamictal 100mg dispersible tablet
dno..,Levetiracetam
dnoz.,Levetiracetam 250mg tablet
dno1.,Keppra 250mg tablet
dnou.,LEVETIRACETAM 500mg/5mL solution for injection
dno6.,KEPPRA 500mg/5mL solution for injection
dnoy.,Levetiracetam 500mg tablet
dno2.,Keppra 500mg tablet
dnow.,Levetiracetam 750mg tablet
dno4.,Keppra 750mg tablet
dnox.,Levetiracetam 1g tablet
dno3.,Keppra 1g tablet
dnov.,Levetiracetam 100mg/mL s/f oral solution
dno5.,Keppra 100mg/mL s/f oral solution
dno7.,DESITREND 250mg/sachet granules
dno8.,DESITREND 500mg/sachet granules
dno9.,DESITREND 1g/sachet granules
dnoA.,DESITREND 100mg/mL oral solution
dnoB.,DESITREND 500mg/5mL concentrate for solution for infusion
dnor.,LEVETIRACETAM 1g/sachet granules
dnos.,LEVETIRACETAM 500mg/sachet granules
dnot.,LEVETIRACETAM 250mg/sachet granules
d26..,Clobazam
d261.,Clobazam 10mg capsule
d262.,Frisium 10mg capsule
dnc1.,Clobazam SLS 10mg capsules
d263.,Clobazam 10mg tablet
d264.,Frisium 10mg tablet
d265.,TAPCLOB 5mg/5mL oral suspension
d266.,CLOBAZAM 5mg/5mL oral suspension
d267.,TAPCLOB 10mg/5mL oral suspension
d268.,CLOBAZAM 10mg/5mL oral suspension
d269.,PERIZAM 1mg/mL oral suspension
d26A.,PERIZAM 2mg/mL oral suspension
dnc..,Clobazam [epilepsy only]
dnw..,PERAMPANEL
dnw1.,FYCOMPA 2mg tablets
dnw2.,FYCOMPA 4mg tablets
dnw3.,FYCOMPA 6mg tablets
dnw4.,FYCOMPA 8mg tablets
dnw5.,FYCOMPA 10mg tablets
dnw6.,FYCOMPA 12mg tablets
dnwu.,PERAMPANEL 12mg tablets
dnwv.,PERAMPANEL 10mg tablets
dnww.,PERAMPANEL 8mg tablets
dnwx.,PERAMPANEL 6mg tablets
dnwy.,PERAMPANEL 4mg tablets
dnwz.,PERAMPANEL 2mg tablets
dnk..,Topiramate
dnk7.,Topiramate 25mg tablet
dnk8.,Topamax 25mg tablet
dnk1.,Topiramate 50mg tablet
dnk4.,Topamax 50mg tablet
dnk2.,Topiramate 100mg tablet
dnk5.,Topamax 100mg tablet
dnk3.,Topiramate 200mg tablet
dnk6.,Topamax 200mg tablet
dnk9.,Topiramate 15mg beads in capsule
dnkB.,Topamax Sprinkle 15mg capsule
dnkA.,Topiramate 25mg beads in capsule
dnkC.,Topamax Sprinkle 25mg capsule
dnkD.,Topiramate 50mg beads in capsule
dnkE.,Topamax Sprinkle 50mg capsule
dnt..,LACOSAMIDE
dnt1.,VIMPAT 200mg/20mL solution for injection
dnt2.,VIMPAT 15mg/1mL sugar free liquid
dnt3.,VIMPAT 50mg tablets
dnt4.,VIMPAT 100mg tablets
dnt5.,VIMPAT 150mg tablets
dnt6.,VIMPAT 200mg tablets
dnt7.,LACOSAMIDE 200mg/20mL solution for injection
dnt8.,LACOSAMIDE 15mg/1mL sugar free liquid
dnt9.,LACOSAMIDE 50mg tablets
dntA.,LACOSAMIDE 100mg tablets
dntB.,LACOSAMIDE 150mg tablets
dntC.,LACOSAMIDE 200mg tablets
dntD.,VIMPAT 10mg/1mL syrup
dntE.,LACOSAMIDE 10mg/1mL sugar free liquid
dna..,Primidone
dnay.,Primidone 250mg tablet
dna1.,Mysoline 250mg tablet
dnaz.,Primidone 250mg/5mL oral suspension
dna2.,Mysoline 250mg/5mL oral suspension
dna3.,MYSOLINE 50mg tablets
dnax.,PRIMIDONE 50mg tablets
dn3..,Carbamazepine
dn31.,Carbamazepine 100mg tablet
dn3A.,Epimaz 100mg tablet
dn34.,Tegretol 100mg tablet
dn32.,Carbamazepine 200mg tablet
dn3B.,Epimaz 200mg tablet
dn35.,Tegretol 200mg tablet
dn33.,Carbamazepine 400mg tablet
dn3C.,Epimaz 400mg tablet
dn36.,Tegretol 400mg tablet
dn3y.,Carbamazepine 100mg chewable tablet
dn3c.,Tegretol 100mg chewable tablet
dn3x.,Carbamazepine 200mg chewable tablet
dn3d.,Tegretol 200mg chewable tablet
dn3a.,Carbamazepine 200mg m/r tablet
dn3e.,Arbil MR 200mg m/r tablet
dn3J.,Carbagen SR 200mg m/r tablet
dn38.,Tegretol Retard 200mg m/r tablet
dn3H.,Teril Retard 200mg m/r tablet
dn3F.,Timonil Retard 200mg m/r tablet
dn3b.,Carbamazepine 400mg m/r tablet
dn3f.,Arbil MR 400mg m/r tablet
dn3K.,Carbagen SR 400mg m/r tablet
dn39.,Tegretol Retard 400mg m/r tablet
dn3I.,Teril Retard 400mg m/r tablet
dn3G.,Timonil Retard 400mg m/r tablet
dn3z.,Carbamazepine 100mg/5mL oral liquid
dn37.,Tegretol 100mg/5mL oral liquid
dn3v.,Carbamazepine 125mg suppository
dn3D.,Tegretol 125mg suppository
dn3w.,Carbamazepine 250mg suppository
dn3E.,Tegretol 250mg suppository
dnm..,Oxcarbazepine
dnmw.,Oxcarbazepine 60mg/mL s/f oral suspension
dnm4.,Trileptal 60mg/mL s/f oral suspension
dnmx.,Oxcarbazepine 150mg tablet
dnm1.,Trileptal 150 tablet
dnmy.,Oxcarbazepine 300mg tablet
dnm2.,Trileptal 300 tablet
dnmz.,Oxcarbazepine 600mg tablet
dnm3.,Trileptal 600 tablet
dn91.,Phenytoin sodium 50mg tablet
dn97.,Pentran 50mg tablet
dn92.,Phenytoin sodium 100mg tablet
dn98.,Pentran 100mg tablet
dn9x.,Phenytoin sodium 25mg capsule
dn93.,Epanutin 25mg capsule
dn9y.,Phenytoin sodium 50mg capsule
dn94.,Epanutin 50mg capsule
bc62.,Phenytoin 250mg/5mL injection
dn83.,Phenytoin 50mg chewable tablet
dn82.,Epanutin 50mg Infatab
dn9z.,Phenytoin sodium 100mg capsule
dn95.,Epanutin 100mg capsule
dn9w.,Phenytoin sodium 300mg capsule
dn96.,Epanutin 300mg capsule
bc6..,Phenytoin sodium [antiarrythmic]
dn8z.,Phenytoin 90mg/5mL s/f suspension
do6..,Phenytoin sodium [status epilepsy]
dn8y.,Phenytoin 30mg/5mL oral suspension
dn81.,Epanutin 30mg/5mL suspension
do6z.,Phenytoin sodium 250mg/5mL injection
bc61.,Epanutin Ready Mixed Parenteral 250mg/5mL injection
do61.,Epanutin [ep] 250mg/5mL injection
dn5..,Ethosuximide
dn5x.,Ethosuximide 250mg capsule
dn53.,Emeside 250mg capsule
dn55.,Zarontin 250mg capsule
dn5z.,Ethosuximide 250mg/5mL oral solution
dn54.,Emeside 250mg/5mL syrup
x0041,Emeside 250mg/5mL orange syrup
x0042,Emeside 250mg/5mL blackcurrant syrup
dn56.,Zarontin 250mg/5mL syrup
dn5y.,Ethosuximide 250mg/5mL elixir
dng..,Piracetam
dng4.,Piracetam 800mg tablet
dng1.,Nootropil 800mg tablet
dng5.,Piracetam 1.2g tablet
dng2.,Nootropil 1.2g tablet
dng6.,Piracetam 333.3mg/1mL oral solution
dng3.,Nootropil 333.1mg/mL solution
dnx..,BRIVARACETAM
dnx1.,BRIVIACT 10mg/mL oral solution
dnx2.,BRIVARACETAM 10mg/mL oral solution
dnx3.,BRIVIACT 50mg/5mL solution for injection
dnx4.,BRIVARACETAM 50mg/5mL solution for injection
dnx5.,BRIVIACT 10mg tablets
dnx6.,BRIVARACETAM 10mg tablets
dnx7.,BRIVIACT 25mg tablets
dnx8.,BRIVARACETAM 25mg tablets
dnx9.,BRIVIACT 50mg tablets
dnxA.,BRIVARACETAM 50mg tablets
dnxB.,BRIVIACT 75mg tablets
dnxC.,BRIVARACETAM 75mg tablets
dnxD.,BRIVIACT 100mg tablets
dnxE.,BRIVARACETAM 100mg tablets
dnq..,Zonisamide
dnq1.,Zonisamide 25mg capsule
dnq4.,Zonegran 25mg capsule
dnq2.,Zonisamide 50mg capsule
dnq5.,Zonegran 50mg capsule
dnq3.,Zonisamide 100mg capsule
dnq6.,Zonegran 100mg capsule
dnl..,Tiagabine
dnl1.,Tiagabine 5mg tablet
dnl4.,Gabitril 5mg tablet
dnl2.,Tiagabine 10mg tablet
dnl5.,Gabitril 10mg tablet
dnl3.,Tiagabine 15mg tablet
dnl6.,Gabitril 15mg tablet
dne..,Vigabatrin
dne1.,Vigabatrin 500mg tablet
dne2.,Sabril 500mg tablet
dne3.,Vigabatrin 500mg/sachet powder
dne4.,Sabril 500mg/sachet powder
dnu..,ESLICARBAZEPINE
dnu1.,ZEBINIX 800mg tablets
dnu2.,ESLICARBAZEPINE ACETATE 800mg tablets
dn7..,Phenobarbital
x01Bc,Oral phenobarbital
dn71.,Phenobarbital 15mg tablet
dn7a.,Luminal 15mg tablet
dn72.,Phenobarbital 30mg tablet
dn7b.,Luminal 30mg tablet
dn73.,Phenobarbital 60mg tablet
dn7c.,Luminal 60mg tablet
dn74.,Phenobarbital 100mg tablet
dn7d.,Phenobarbital 15mg/5mL elixir
dn77.,Phenobarbitone 15mg/10mL elixir
dn75.,Phenobarbitone sodium 30mg tablets
dn76.,Phenobarbitone sodium 60mg tablets
x01Bd,Parenteral phenobarbital
x00RW,Phenobarbital sodium 15mg/1mL injection
x00RX,Phenobarbital sodium 30mg/1mL injection
x00RY,Phenobarbital sodium 60mg/1mL injection
dn78.,Phenobarbital sodium 200mg/1mL injection
dn79.,Gardenal Sodium 200mg/1mL injection
dnr..,RUFINAMIDE
dnr1.,INOVELON 100mg tablets
dnr2.,INOVELON 200mg tablets
dnr3.,INOVELON 400mg tablets
dnr4.,INOVELON 40mg/ml oral suspension
dnrz.,RUFINAMIDE 100mg tablets
dnry.,RUFINAMIDE 200mg tablets
dnrx..,RUFINAMIDE 400mg tablets
dnrw.,RUFINAMIDE 40mg/ml oral suspension
dns..,STIRIPENTOL
dns1.,DIACOMIT 250mg capsules
dns2.,DIACOMIT 500mg capsules
dns3,DIACOMIT 250mg/sachet powder for oral suspension
dns4.,DIACOMIT 500mg/sachet powder for oral suspension
dnsz.,STIRIPENTOL 250mg capsules
dnsy.,STIRIPENTOL 500mg capsules
dnsx.,STIRIPENTOL 250mg/sachet powder for oral suspension
dnsw.,STIRIPENTOL 500mg/sachet powder for oral suspension
